,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L,net p&l,funds
126,ATGL,2022-06-20 13:00:00,2022-06-20 10:00:00,2068.8,2010.8,2022-06-20 10:00:00,2022-06-20 13:00:00,2068.8,2010.8,2010.8,2068.8,StopLoss,lower,2010.8,-58.00000000000023,-464.0000000000018,95140.35000000012
127,DHANI,2022-06-21 10:45:00,2022-06-21 09:45:00,34.0,33.3,2022-06-21 09:45:00,2022-06-21 10:45:00,34.0,33.3,33.3,34.0,StopLoss,lower,33.3,-0.7000000000000028,-473.2000000000019,94676.35000000012
128,INDIAMART,2022-06-29 13:00:00,2022-06-29 10:00:00,3930.0,3913.0,2022-06-29 10:00:00,2022-06-29 13:00:00,3930.0,3913.0,3913.0,3930.0,StopLoss,lower,3913.0,-17.0,-459.0,94203.15000000013
129,OIL,2022-07-05 13:00:00,2022-07-05 10:00:00,195.4,194.1,2022-07-05 10:00:00,2022-07-05 13:00:00,195.4,194.1,194.1,195.4,StopLoss,lower,194.1,-1.3000000000000114,-468.0000000000041,93744.15000000013
130,CONCOR,2022-07-06 09:45:00,2022-07-06 10:45:00,646.9,632.9,2022-07-06 09:45:00,2022-07-06 10:45:00,632.9,646.9,632.9,646.9,StopLoss,upper,646.9,-14.0,-462.0,93276.15000000013
131,PGHH,2022-07-07 10:00:00,2022-07-07 11:00:00,14344.15,14301.05,2022-07-07 10:00:00,2022-07-07 11:00:00,14301.05,14344.15,14301.05,14344.15,StopLoss,upper,14344.15,-43.10000000000037,-431.0000000000037,92814.15000000013
132,INDHOTEL,2022-07-07 10:00:00,2022-07-07 10:45:00,244.75,243.95,2022-07-07 10:00:00,2022-07-07 10:45:00,243.95,244.75,243.95,244.75,StopLoss,upper,244.75,-0.8000000000000114,-464.0000000000066,92814.15000000013
133,ABFRL,2022-07-11 10:00:00,2022-07-11 10:30:00,257.55,256.25,2022-07-11 10:00:00,2022-07-11 10:30:00,256.25,257.55,256.25,257.55,StopLoss,upper,257.55,-1.3000000000000114,-458.900000000004,91919.15000000011
134,LALPATHLAB,2022-07-13 13:00:00,2022-07-13 11:00:00,2041.5,2022.55,2022-07-13 11:00:00,2022-07-13 13:00:00,2041.5,2022.55,2022.55,2041.5,StopLoss,lower,2022.55,-18.95000000000005,-454.8000000000012,91460.2500000001
135,MUTHOOTFIN,2022-07-14 14:00:00,2022-07-14 09:45:00,994.9,990.55,2022-07-14 09:45:00,2022-07-14 14:00:00,994.9,990.55,990.55,994.9,StopLoss,lower,990.55,-4.350000000000024,-452.4000000000025,91005.4500000001
136,DHANI,2022-07-15 10:30:00,2022-07-15 10:15:00,30.1,30.0,2022-07-15 10:15:00,2022-07-15 10:30:00,30.1,30.0,30.0,30.1,StopLoss,lower,30.0,-0.10000000000000142,-452.7000000000064,90553.05000000009
137,INDIAMART,2022-07-20 10:00:00,2022-07-20 15:00:00,4218.5,4185.0,2022-07-20 10:00:00,2022-07-20 15:00:00,4185.0,4157.0,4185.0,4157.0,DayEnd,upper,4218.5,28.0,364.0,90100.35000000008
138,PEL,2022-07-22 09:45:00,2022-07-22 15:00:00,1863.2,1847.65,2022-07-22 09:45:00,2022-07-22 15:00:00,1847.65,1838.25,1847.65,1838.25,DayEnd,upper,1863.2,9.400000000000091,272.60000000000264,90464.35000000008
139,DRREDDY,2022-07-26 10:15:00,2022-07-26 10:00:00,4249.0,4227.05,2022-07-26 10:00:00,2022-07-26 10:15:00,4249.0,4227.05,4227.05,4249.0,StopLoss,lower,4227.05,-21.949999999999815,-438.9999999999963,90736.95000000008
140,HINDZINC,2022-07-27 15:00:00,2022-07-27 09:45:00,262.7,260.85,2022-07-27 09:45:00,2022-07-27 15:00:00,262.7,262.8,262.8,262.7,DayEnd,lower,260.85,0.10000000000002274,24.400000000005548,90297.95000000008
141,DLF,2022-07-29 10:00:00,2022-07-29 10:45:00,391.5,388.95,2022-07-29 10:00:00,2022-07-29 10:45:00,388.95,391.5,388.95,391.5,StopLoss,upper,391.5,-2.550000000000012,-451.35000000000207,90322.3500000001
142,M_MFIN,2022-07-29 11:30:00,2022-07-29 10:00:00,191.55,189.15,2022-07-29 10:00:00,2022-07-29 11:30:00,191.55,189.15,189.15,191.55,StopLoss,lower,189.15,-2.4000000000000057,-451.20000000000107,90322.3500000001
143,CHOLAFIN,2022-08-01 11:00:00,2022-08-01 11:30:00,717.0,712.05,2022-08-01 11:00:00,2022-08-01 11:30:00,712.05,717.0,712.05,717.0,StopLoss,upper,717.0,-4.9500000000000455,-445.5000000000041,89419.80000000009
144,NATCOPHARM,2022-08-02 10:15:00,2022-08-02 10:45:00,724.45,721.6,2022-08-02 10:15:00,2022-08-02 10:45:00,721.6,724.45,721.6,724.45,StopLoss,upper,724.45,-2.8500000000000227,-444.60000000000355,88974.30000000009
