,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L
107,BATAINDIA,2022-02-04 11:45:00,2022-02-04 09:45:00,1975.0,1954.15,2022-02-04 09:45:00,2022-02-04 11:45:00,1975.0,1954.15,1954.15,1975.0,StopLoss,lower,1954.15,-20.84999999999991
108,TATASTEEL,2022-02-04 10:00:00,2022-02-04 15:00:00,119.37,118.31,2022-02-04 10:00:00,2022-02-04 15:00:00,118.31,117.51,118.31,117.51,DayEnd,upper,119.37,0.7999999999999972
109,HINDALCO,2022-02-04 10:00:00,2022-02-04 14:15:00,527.25,523.15,2022-02-04 10:00:00,2022-02-04 14:15:00,523.15,527.25,523.15,527.25,StopLoss,upper,527.25,-4.100000000000023
110,POWERGRID,2022-02-07 09:45:00,2022-02-07 11:30:00,213.8,212.35,2022-02-07 09:45:00,2022-02-07 11:30:00,212.35,213.8,212.35,213.8,StopLoss,upper,213.8,-1.450000000000017
111,SRF,2022-02-07 09:45:00,2022-02-07 15:00:00,2521.85,2492.1,2022-02-07 09:45:00,2022-02-07 15:00:00,2492.1,2455.55,2492.1,2455.55,DayEnd,upper,2521.85,36.54999999999973
112,GODREJIND,2022-02-07 10:15:00,2022-02-07 10:00:00,597.95,595.25,2022-02-07 10:00:00,2022-02-07 10:15:00,597.95,595.25,595.25,597.95,StopLoss,lower,595.25,-2.7000000000000455
113,GODREJCP,2022-02-07 11:30:00,2022-02-07 10:00:00,895.0,889.1,2022-02-07 10:00:00,2022-02-07 11:30:00,895.0,889.1,889.1,895.0,StopLoss,lower,889.1,-5.899999999999977
114,OBEROIRLTY,2022-02-07 15:00:00,2022-02-07 10:00:00,913.7,905.55,2022-02-07 10:00:00,2022-02-07 15:00:00,913.7,916.3,916.3,913.7,DayEnd,lower,905.55,2.599999999999909
115,TITAN,2022-02-08 09:45:00,2022-02-08 15:00:00,2447.5,2420.0,2022-02-08 09:45:00,2022-02-08 15:00:00,2420.0,2447.5,2420.0,2447.5,StopLoss,upper,2447.5,-27.5
116,MANAPPURAM,2022-02-08 09:45:00,2022-02-08 12:00:00,158.65,157.6,2022-02-08 09:45:00,2022-02-08 12:00:00,157.6,158.65,157.6,158.65,StopLoss,upper,158.65,-1.0500000000000114
117,CONCOR,2022-02-08 10:30:00,2022-02-08 09:45:00,624.55,618.65,2022-02-08 09:45:00,2022-02-08 10:30:00,624.55,618.65,618.65,624.55,StopLoss,lower,618.65,-5.899999999999977
118,BAJAJFINSV,2022-02-08 10:00:00,2022-02-08 12:00:00,1603.09,1594.1,2022-02-08 10:00:00,2022-02-08 12:00:00,1594.1,1603.09,1594.1,1603.09,StopLoss,upper,1603.09,-8.990000000000009
119,SIEMENS,2022-02-08 10:00:00,2022-02-08 15:00:00,2490.0,2446.9,2022-02-08 10:00:00,2022-02-08 15:00:00,2446.9,2364.05,2446.9,2364.05,DayEnd,upper,2490.0,82.84999999999991
120,HINDCOPPER,2022-02-09 09:45:00,2022-02-09 15:00:00,140.8,139.4,2022-02-09 09:45:00,2022-02-09 15:00:00,139.4,138.85,139.4,138.85,DayEnd,upper,140.8,0.5500000000000114
121,NATIONALUM,2022-02-09 09:45:00,2022-02-09 15:00:00,125.65,124.1,2022-02-09 09:45:00,2022-02-09 15:00:00,124.1,123.25,124.1,123.25,DayEnd,upper,125.65,0.8499999999999943
122,ENDURANCE,2022-02-09 11:30:00,2022-02-09 09:45:00,1467.95,1448.0,2022-02-09 09:45:00,2022-02-09 11:30:00,1467.95,1448.0,1448.0,1467.95,StopLoss,lower,1448.0,-19.950000000000045
123,JINDALSTEL,2022-02-09 15:00:00,2022-02-09 09:45:00,406.5,401.6,2022-02-09 09:45:00,2022-02-09 15:00:00,406.5,414.5,414.5,406.5,DayEnd,lower,401.6,8.0
124,BAJAJ-AUTO,2022-02-09 10:00:00,2022-02-09 11:15:00,3541.2,3519.7,2022-02-09 10:00:00,2022-02-09 11:15:00,3519.7,3541.2,3519.7,3541.2,StopLoss,upper,3541.2,-21.5
